company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,primary_SIC_code,SIC6_description,SIC_code,primary_NAICS_code,NAICS8_description,parent_company_name,parent_company_ABI,classification,fossil_fuel_primary,clean_energy_primary,fossil_fuel_secondary,clean_energy_secondary,unique_id
Dubai Electricity & Water,DEWA,هيئة كهرباء ومياه دبي ش.م.ع,,,,,,,,,,,,,f,,,,,181d7911-5fb1-4880-9d0b-8ed8f0f8af15
Duke Energy,DUK,Duke Energy Corp,,,,,,,,,,,,,f,,,,,c2e44989-d78d-4964-b7e2-9c185598cb7f
Dynagas LNG Partners,DLNG,Dynagas LNG Partners LP,,,,,,,,,,,,,f,,,,,82f436cc-dbaf-4532-9fb8-2b69a4e529c3
E.ON,EOAN,E.ON SE,,,,,,,,,,,,,f,,,,,080142be-319d-46ea-920f-ad41d245b7c4
E1,17940,(주)E1,,,,,,,,,,,,,f,,,,,695645b4-b589-4d90-bcde-f739807c35d4
Eco (Atlantic) Oil & Gas,EOG,Eco (Atlantic) Oil & Gas Ltd,,,,,,,,,,,,,f,,,,,ec470ae6-071f-41b8-b322-12c13aa9e603
Ecopetrol,ECOPETROL,Ecopetrol SA,,,,,,,,,,,,,f,,,,,193b7d88-8b43-4022-80d3-81cc0c57b575
Edda Wind,EWIND,Edda Wind ASA,,,,,,,,,,,,,f,,,,,a16bcbd8-bdcb-4a8c-b016-b2af46be03b0
El Paso Energy Capital,,El Paso Energy Capital Trust I,,,,,,,,,,,,,f,,,,,9ecabe33-abd8-4532-a341-bb1300a929e8
Elixir Energy,EXR,Elixir Energy Ltd,,,,,,,,,,,,,f,,,,,141aa8f2-56d1-441a-9ff8-e2fffab529c5
Elnusa,ELSA,PT Elnusa Tbk,,,,,,,,,,,,,f,,,,,b113d365-8da8-48e7-803b-12bda620b3b1
Elvalhalcor,ELHA,ΕΛΒΑΛΧΑΛΚΟΡ A.E.,,,,,,,,,,,,,f,,,,,b2eaed99-a27d-4c84-836a-e7f4bc9c0bfc
Empire Petroleum,EP,Empire Petroleum Corp,,,,,,,,,,,,,f,,,,,d13c8abe-c769-4f31-a73d-7e6223575712
Empresa Metropolitana,EMAE4,Empresa Metropolitana de Águas e Energia S.A.,,,,,,,,,,,,,f,,,,,e45c06e6-5a67-4a2c-a234-d7d6d3133be9
Empresas Lipigas,LIPIGAS,Empresas Lipigas SA,,,,,,,,,,,,,f,,,,,53ff9cee-5a17-418c-bc4b-cc6f95448928
Enagas,ENG,"Enagás, S.A.",,,,,,,,,,,,,f,,,,,dca67609-0d58-44ea-8871-c93f3d5269ec
Enauta Participacoes,ENAT3,Enauta Participacoes SA,,,,,,,,,,,,,f,,,,,663c505f-9f2a-4ca2-9c49-9f4612cf2454
Enbridge,ENB,Enbridge Inc,,,,,,,,,,,,,f,,,,,60573a2c-96a8-4448-bdcf-75633bb25b66
EnBW Energie Baden,EBK,EnBW Energie Baden-Württemberg AG,,,,,,,,,,,,,f,,,,,3efe0369-8f86-49aa-8952-3c49991b87b6
Endesa,ELE,"Endesa, S.A.",,,,,,,,,,,,,f,,,,,149a60a3-d493-4494-b721-e446d3eb378b
Enea,ENA,Enea SA,,,,,,,,,,,,,f,,,,,c4c0eee5-a0aa-4dc6-9728-4358c4d30284
Enel,ENEL,Enel SpA,,,,,,,,,,,,,f,,,,,32e6971e-2ac5-4723-9515-001df615e077
ENEOS Holdings,5020,ＥＮＥＯＳホールディングス株式会社,,,,,,,,,,,,,f,,,,,afb40711-56d8-455c-8c20-a425275176ec
Enerflex,EFX,Enerflex Ltd,,,,,,,,,,,,,f,,,,,29b1787a-15e6-439b-a365-96c1f3f36daa
Energa,ENG,Energa SA,,,,,,,,,,,,,f,,,,,577862ec-a7e4-42cb-ab2f-09ff4a32c886
Energean,ENOG,Energean PLC,,,,,,,,,,,,,f,,,,,07ddd0e8-9f69-48a1-83be-b135a82dcb60
Energi Mega Persada,ENRG,PT Energi Mega Persada Tbk,,,,,,,,,,,,,f,,,,,05570614-1711-4008-ae3f-e4decd68eaca
Energy Intl Inv Hldgs,353,能源国际投资控股有限公司,,,,,,,,,,,,,f,,,,,a2a1bc90-d4b8-48de-a41a-88dcceedf21d
Energy Transfer,ET,Energy Transfer LP,,,,,,,,,,,,,f,,,,,88ec4308-14b0-4056-ad44-2f997ed92b5d
Energy World Corp,EWC,Energy World Corp Ltd,,,,,,,,,,,,,f,,,,,7dfe895e-eb3b-403b-b6d5-e964e11e9140
Enerplus,ERF,Enerplus Corp,,,,,,,,,,,,,f,,,,,3f66ef7a-92ab-41a5-bd36-fd2f6a618b73
Eneva,ENEV3,Eneva SA,,,,,,,,,,,,,f,,,,,2bd6c678-6baf-449d-85f6-c059c8502077
Engie,ENGI,Engie SA,,,,,,,,,,,,,f,,,,,828c3b87-1082-429d-b8b8-c6192ef98a1e
Engie Energia Chile,ECL,Engie Energia Chile SA,,,,,,,,,,,,,f,,,,,652666e8-0e3e-4230-8b5e-f34383bab950
Eni,ENI,Eni SpA,,,,,,,,,,,,,f,,,,,6e190c07-7a94-4492-9e92-0475b8262990
EnLink Midstream,ENLC,EnLink Midstream LLC,,,,,,,,,,,,,f,,,,,1cbbda96-68f3-4c3c-ab5c-590633c7b358
ENN Natural Gas,600803,新奥天然气股份有限公司,,,,,,,,,,,,,f,,,,,1cebb75e-9f4e-4b48-b895-f6bafcd2ea79
EnQuest,ENQ,EnQuest PLC,,,,,,,,,,,,,f,,,,,701ef3f8-bea8-4e74-b2dc-9ed8e2b2644a
Enservco,ENSV,Enservco Corp,,,,,,,,,,,,,f,,,,,f8ba2276-0b24-4397-bdfa-41d7038c56fb
Ensign Energy Services,ESI,Ensign Energy Services Inc,,,,,,,,,,,,,f,,,,,92cfa13f-229e-4412-bd95-a1e9a1553a16
Entergy,ETR,Entergy Corp,,,,,,,,,,,,,f,,,,,a179f191-51ce-4663-8617-6f6fd7b714ce
Enterprise Prods Partners,EPD,Enterprise Products Partners LP,,,,,,,,,,,,,f,,,,,b6d70302-0175-4c86-88f0-ac9923b4762a
EOG Resources,EOG,EOG Resources Inc,,,,,,,,,,,,,f,,,,,493d03a1-0257-4055-b52c-8cbc6f8a2d89
Epsilon Energy,EPSN,Epsilon Energy Ltd,,,,,,,,,,,,,f,,,,,7bcf9737-e503-4713-a059-1d2a44f86cf3
EQT,EQT,EQT Corp,,,,,,,,,,,,,f,,,,,9dde9471-1152-4fd7-b048-f64ae845ac57
Equinor,EQNR,Equinor ASA,,,,,,,,,,,,,f,,,,,02a7e90d-167e-4f8d-b5b4-c8fc006765f2
Equital,EQTL,אקויטל בע,,,,,,,,,,,,,f,,,,,b83a723e-31dd-4115-9bc7-441805c150c4
Equitrans Midstream,ETRN,Equitrans Midstream Corp,,,,,,,,,,,,,f,,,,,125324bf-30b2-498b-a772-2bea9b095276
Esso,ES,Esso SAF,,,,,,,,,,,,,f,,,,,fe2c3097-e2f4-493b-84f5-252a25828fd6
Etablissements Maurel,MAU,Etablissements Maurel & Prom,,,,,,,,,,,,,f,,,,,9cd01f7e-c75e-4a20-aa87-38f6de57cbe7
Euronav,EURN,Euronav NV,,,,,,,,,,,,,f,,,,,e840f646-0956-41d9-82c5-b098c407fda4
Evergy,EVRG,Evergy Inc,,,,,,,,,,,,,f,,,,,d2311679-5d9d-4ddc-92c0-fc0f5e86f158
Evolution Petroleum,EPM,Evolution Petroleum Corp,,,,,,,,,,,,,f,,,,,8ab74202-bf32-465d-8a8b-8df168b76947
Excelerate Energy,EE,Excelerate Energy Inc,,,,,,,,,,,,,f,,,,,a94f96d5-da9b-47c8-936d-5ea74561f6b8
Exmar,EXM,Exmar NV,,,,,,,,,,,,,f,,,,,c5b0f868-dd47-465b-b9bb-9cb06309d52a
Expro Gr Hldgs,XPRO,Expro Group Holdings NV,,,,,,,,,,,,,f,,,,,cd4fea1c-de8a-4fb3-af6a-c0c98b250757
Exxon Mobil,XOM,Exxon Mobil Corp,,,,,,,,,,,,,f,,,,,e775d12d-df9b-4959-8942-ee06111e3d8e
Ezra Holdings,5DN,Ezra Holdings Ltd,,,,,,,,,,,,,f,,,,,6cc899f7-dec2-4ef5-8253-8ad0eab2ca26
Ferrellgas Partners,FGPR,Ferrellgas Partners LP,,,,,,,,,,,,,f,,,,,3fa8d210-eee4-42d1-b943-d46d31da39f7
First Gen,FGEN,First Gen Corp,,,,,,,,,,,,,f,,,,,3e78676b-776e-4913-949c-521127423015
First Pacific Co,142,First Pacific Co Ltd,,,,,,,,,,,,,f,,,,,dd416969-d376-46c4-a23f-149750977595
First Philippine Hldgs,FPH,First Philippine Holdings Corp,,,,,,,,,,,,,f,,,,,4e25be65-51af-46f9-b228-0a9ff5ae386e
Flex LNG,FLNG,Flex LNG Ltd,,,,,,,,,,,,,f,,,,,c48f8fd9-fd53-47b5-8d02-d85162e93e58
Flotek Industries,FTK,Flotek Industries Inc,,,,,,,,,,,,,f,,,,,da8bec46-fc4c-495f-a3bc-eeceeff9e2cc
Fluxys Belgium,FLUX,Fluxys Belgium SA,,,,,,,,,,,,,f,,,,,3ac77b04-5c69-45d3-a76b-3ae761b3ef8d
Foran Energy Group,2911,佛燃能源集团股份有限公司,,,,,,,,,,,,,f,,,,,e3782cc7-2e36-4a9f-93cc-41d1f7914539
Formosa Chemicals & Fibre,1326,台灣化學纖維股份有限公司,,,,,,,,,,,,,f,,,,,cb0a610e-2d8c-467c-99ce-2780de3c3740
Formosa Petrochemical,6505,台塑石化股份有限公司,,,,,,,,,,,,,f,,,,,0257f3c3-a47a-4d63-80ec-34652e676629
Formosa Plastics,1301,台灣塑膠工業股份有限公司,,,,,,,,,,,,,f,,,,,27b25f6a-7a92-4732-a382-529043d1a526
Fortis,FTS,Fortis Inc,,,,,,,,,,,,,f,,,,,3ceebab3-e79c-4b3e-8089-1057a04f2881
Forum Energy Technologies,FET,Forum Energy Technologies Inc,,,,,,,,,,,,,f,,,,,2b8b8692-d743-4d28-b4a7-fc7dd9e67df8
Freehold Royalties,FRU,Freehold Royalties Ltd,,,,,,,,,,,,,f,,,,,fda754c3-9986-436a-b497-7cd16d22f718
Frontera Energy,FEC,Frontera Energy Corp,,,,,,,,,,,,,f,,,,,a1268f9f-1d29-4191-88c6-c446feca69c1
Frontline,FRO,Frontline Plc,,,,,,,,,,,,,f,,,,,7352fe04-ff23-45a1-81b1-c7b47be09585
Fugro,FUR,Fugro NV,,,,,,,,,,,,,f,,,,,9a307e60-5e38-413b-baba-824c02a2db4d
Fuji Kosan,5009,富士興産株式会社,,,,,,,,,,,,,f,,,,,275d8b11-2bc7-4b16-9dea-4bc23fcf660d
Fuji Oil Co,5017,富士石油株式会社,,,,,,,,,,,,,f,,,,,acff8fd0-4b2e-41a5-a429-9c89050cc4fa
GAIL (India),532155,GAIL (India) Ltd,,,,,,,,,,,,,f,,,,,3a33913d-adba-4e75-b573-996d81b5a4a2
Galp Energia SGPS,GALP,Galp Energia SGPS SA,,,,,,,,,,,,,f,,,,,f10874d0-efc2-4064-993c-3b7908e02d95
Gazprom,GAZP,ПАО Газпром,,,,,,,,,,,,,f,,,,,39a19c2e-2962-4879-94bf-de4c7f3e5269
Gazprom Neft,SIBN,ОАО Газпром нефть,,,,,,,,,,,,,f,,,,,3708644d-1fbb-4264-a40d-2e553b7a9446
Gaztransport et technigaz,GTT,Gaztransport et technigaz SA,,,,,,,,,,,,,f,,,,,d4467837-13f2-4565-a3de-fc35819cd96d
GCL Energy Technology,2015,协鑫能源科技股份有限公司,,,,,,,,,,,,,f,,,,,feba24ae-6241-4489-9adb-096047aacac2
GD Power Dev Co,600795,国电电力发展股份有限公司,,,,,,,,,,,,,f,,,,,fd0c791d-b585-44c9-bc93-3dcbcd7feaa9
Gear Energy,GXE,Gear Energy Ltd,,,,,,,,,,,,,f,,,,,dc7ae290-a0c3-4127-9687-5b4b5ca539d9
GEK Terna Holding,GEKTERNA,"ΓΕΚ ΤΕΡΝΑ Α.Ε. ΣΥΜΜΕΤΟΧΩΝ, ΑΚΙΝΗΤΩΝ, ΚΑΤΑΣΚΕΥΩΝ",,,,,,,,,,,,,f,,,,,a860f789-7f23-4d28-9c7c-5e0e9b53e3ab
Genel Energy,GENL,Genel Energy PLC,,,,,,,,,,,,,f,,,,,95b6c697-3b77-421b-ab4f-e9811e06c80d
General Electric,GE,General Electric Co,,,,,,,,,,,,,f,,,,,132c0d25-d38e-4f5d-950e-f4bd8f12e304
Genesis Energy,GEL,Genesis Energy LP,,,,,,,,,,,,,f,,,,,0cb6b461-c0f8-471f-b092-71efcc0abce3
GeoPark,GPRK,GeoPark Ltd,,,,,,,,,,,,,f,,,,,1096aa2f-f954-4d39-9808-9136ec377c6f
Geospace Technologies,GEOS,Geospace Technologies Corp,,,,,,,,,,,,,f,,,,,704b9a6d-7a67-4034-9d93-bdf596785445
Gibson Energy,GEI,Gibson Energy Inc,,,,,,,,,,,,,f,,,,,9077dcc1-9ea2-4272-98fd-28ed094b8b96
Glencore,GLEN,Glencore PLC,,,,,,,,,,,,,f,,,,,0adf8c4d-6f18-417f-b95f-0f88554eece9
Global Partners,GLP,Global Partners LP,,,,,,,,,,,,,f,,,,,ca726893-be08-41e1-bb7e-2fe71d8c472b
Golar LNG,GLNG,Golar LNG Ltd,,,,,,,,,,,,,f,,,,,f419bd31-3219-4fed-9c80-ad533c2a007a
Golar LNG Partners,GMLP,Golar LNG Partners LP,,,,,,,,,,,,,f,,,,,f8b9c76e-5186-46ef-adfd-65ab29431d61
Gran Tierra Energy,GTE,Gran Tierra Energy Inc,,,,,,,,,,,,,f,,,,,63937d95-b8f9-4562-879e-a522fe7634df
Granite Ridge Resources,GRNT,Granite Ridge Resources Inc,,,,,,,,,,,,,f,,,,,3ba2cae8-68d2-4c2d-8922-01553979c941
Greenfire Resources,GFR,Greenfire Resources Ltd,,,,,,,,,,,,,f,,,,,31e5ab2c-c9d3-4854-a636-3e9e860e48b7
Grupo Carso,GCARSOA1,Grupo Carso SAB de CV,,,,,,,,,,,,,f,,,,,2095aae8-cdcb-44c4-936f-6eec42dd850a
GS Holdings,78930,(주)GS,,,,,,,,,,,,,f,,,,,aaba4739-b603-4fcf-bf47-b0cf891b2e37
GT Capital Holdings,GTCAP,GT Capital Holdings Inc,,,,,,,,,,,,,f,,,,,be0e5739-3eec-498b-93f0-f17bb47a2254
Guangdong Electric Power,539,广东电力发展股份有限公司,,,,,,,,,,,,,f,,,,,ce18d789-7334-4aa5-b3d1-50d7b455a25a
Guanghui Energy,600256,广汇能源股份有限公司,,,,,,,,,,,,,f,,,,,d8f60ef7-440c-4ebd-960b-e9939e619c29
Guangzhou Development Gr,600098,广州发展集团股份有限公司,,,,,,,,,,,,,f,,,,,6e8dc6d6-7575-448b-8c4d-e707fb02bb4f
Guangzhou Hengyun,531,广州恒运企业集团股份有限公司,,,,,,,,,,,,,f,,,,,da5f8b8a-7636-4b4f-94a0-8199ab2185c2
Gujarat State Petronet,532702,Gujarat State Petronet Ltd,,,,,,,,,,,,,f,,,,,3873379c-b856-419c-80c0-e39840f26feb
Gulf Coast Ultra Deep,GULTU,Gulf Coast Ultra Deep Royalty Trust,,,,,,,,,,,,,f,,,,,59c803ea-8b37-4613-aabe-bceeb28d3679
Gulf Energy Development,GULF,บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน),,,,,,,,,,,,,f,,,,,e8f9ee27-d40c-4f08-9a1c-eb689ed7cadf
Gulf Keystone Petroleum,GKP,Gulf Keystone Petroleum Ltd,,,,,,,,,,,,,f,,,,,02c57880-1d14-482a-bac1-b142fb6a03fe
Gulf Marine Services,GMS,Gulf Marine Services PLC,,,,,,,,,,,,,f,,,,,19ba7cc3-3592-4f6e-88ab-2ce1e01f5792
Gulfport Energy,GPOR,Gulfport Energy Corp,,,,,,,,,,,,,f,,,,,1f91a5c8-c212-45e0-ae51-30d442ffbf13
Halliburton,HAL,Halliburton Co,,,,,,,,,,,,,f,,,,,e92093d0-e7ee-4fad-9b4c-35db3e476dd1
Han Kook Shell Oil,2960,한국쉘석유(주),,,,,,,,,,,,,f,,,,,e4d209e2-cdef-413f-9c0f-bab46461156e
Hanwha,880,(주)한화,,,,,,,,,,,,,f,,,,,cb82a393-3272-42de-9f07-cb30aa1c198c
Harbour Energy,HBR,Harbour Energy PLC,,,,,,,,,,,,,f,,,,,4f8c5cd4-d465-4eae-809a-9f73e0283edc
HD Hyundai,267250,에이치디현대(주),,,,,,,,,,,,,f,,,,,9cba3a6a-bc7b-4ffc-80a5-cb33cbf4b0d0
HDC Hldgs,12630,에이치디씨(주),,,,,,,,,,,,,f,,,,,180106b9-fb50-4285-8477-8aa9e2e3849b
Headwater Exploration,HWX,Headwater Exploration Inc,,,,,,,,,,,,,f,,,,,c4f12dcb-151f-41aa-bda3-13b11fec9bd2
Helios Energy,HE8,Helios Energy Ltd,,,,,,,,,,,,,f,,,,,399f9f86-b350-4c63-b955-663f1e4d0978
Helix Energy Solns Gr,HLX,Helix Energy Solutions Group Inc,,,,,,,,,,,,,f,,,,,656374ef-83d8-43ab-8389-39aef2e93387
HELLENiQ ENERGY Hldgs,ELPE,HELLENiQ ENERGY Ανώνυμη Εταιρεία Συμμετοχών,,,,,,,,,,,,,f,,,,,132c6456-849e-4aa7-bf3e-5adaf495e383
Helmerich & Payne,HP,Helmerich & Payne Inc,,,,,,,,,,,,,f,,,,,089d1e1f-f01e-4254-abf4-a1d4d1df44c7
Hemisphere Energy,HME,Hemisphere Energy Corp,,,,,,,,,,,,,f,,,,,f6e078ae-a5fe-43cd-bde3-c9d2715133bf
Hengyuan Refining Co,4324,Hengyuan Refining Co Bhd,,,,,,,,,,,,,f,,,,,3ee9fee3-ffea-4831-bef0-bbcae94be97a
Hess,HES,Hess Corp,,,,,,,,,,,,,f,,,,,dc390803-5ab4-4fec-aea3-7982c9a7d942
Hess Midstream,HESM,Hess Midstream LP,,,,,,,,,,,,,f,,,,,a0ed6fdc-8085-481a-8450-157500063f3b
HF Sinclair,DINO,HF Sinclair Corp,,,,,,,,,,,,,f,,,,,5e23f52a-b996-47bc-af3a-b4ce0c4a5571
Hibiscus Petroleum,5199,Hibiscus Petroleum Bhd,,,,,,,,,,,,,f,,,,,c01825e3-4900-4a84-a0d2-e3d6d254faaf
High Arctic Energy Servs,HWO,High Arctic Energy Services Inc,,,,,,,,,,,,,f,,,,,052d9caf-c060-4226-ba6e-0650d66256d9
HighPeak Energy,HPK,HighPeak Energy Inc,,,,,,,,,,,,,f,,,,,b585a1f3-eb00-4e6d-9d41-313282038de6
Hilong Holding,1623,海隆控股有限公司,,,,,,,,,,,,,f,,,,,306abd74-c645-4397-94fd-0a3fb5996952
Hindustan Oil Exploration,500186,Hindustan Oil Exploration Co Ltd,,,,,,,,,,,,,f,,,,,e4ad8d07-9d4b-4d74-b6ff-49237235f451
Hindustan Petroleum Corp,HINDPETRO,Hindustan Petroleum Corp Ltd,,,,,,,,,,,,,f,,,,,481789f4-f073-4d93-b314-ef8e00375000
Hiroshima Gas,9535,広島ガス株式会社,,,,,,,,,,,,,f,,,,,a57e1e0c-7ff4-406f-a279-74911890ab96
HK Electric Inv,2638,港燈電力投資 與 港燈電力投資有限公司,,,,,,,,,,,,,f,,,,,f36e8eb3-8f01-427f-8ffd-2fdedf1de2c9
Honghua Group,196,宏华集团有限公司,,,,,,,,,,,,,f,,,,,551d8f1d-23da-49fb-9fa7-0d49194b956f
Horizon Oil,HZN,Horizon Oil Ltd,,,,,,,,,,,,,f,,,,,37e445c8-74f3-47ab-a4f3-3b435716df44
Houpu Clean Energy Group,300471,厚普清洁能源(集团)股份有限公司,,,,,,,,,,,,,f,,,,,b0e0b5af-0cdc-4b29-9fb0-7f56de9fab36
Houston American Energy,HUSA,Houston American Energy Corp,,,,,,,,,,,,,f,,,,,a3f2c6a9-40f0-439a-936e-23d9cfdf9781
Huadian Power Intl Corp,600027,华电国际电力股份有限公司,,,,,,,,,,,,,f,,,,,d7964ddd-ac7b-410d-869c-19055078b4e9
Huaneng Power Intl,600011,华能国际电力股份有限公司,,,,,,,,,,,,,f,,,,,01fa0719-d98e-48ea-86de-fa66991d2004
Hunter Group,HUNT,Hunter Group ASA,,,,,,,,,,,,,f,,,,,aef142cc-1829-4b75-978d-9300242fb8be
Hunting,HTG,Hunting PLC,,,,,,,,,,,,,f,,,,,4b2a67f4-30dd-4606-b1a3-c452bd042ec4
HY Energy Gr,600387,海越能源集团股份有限公司,,,,,,,,,,,,,f,,,,,0e76dae6-39ac-4908-a7dc-09100d1c665a
Hyundai Engineering,720,현대건설(주),,,,,,,,,,,,,f,,,,,c8857465-f652-40f9-a5f6-216e51983620
Hyundai Motor,5380,현대자동차(주),,,,,,,,,,,,,f,,,,,37d8962f-846a-4e07-a9cc-9aaa774e46d1
i3 Energy,I3E,i3 Energy PLC,,,,,,,,,,,,,f,,,,,906da9a4-cb0f-4927-b5bb-e5e15a868173
Icahn Enterprises,IEP,Icahn Enterprises LP,,,,,,,,,,,,,f,,,,,ca9a819c-45b4-4d29-bb4a-66f5d883a2f9
Idacorp,IDA,Idacorp Inc,,,,,,,,,,,,,f,,,,,c3e05fa8-9303-463d-bddd-788bdce33038
Idemitsu Kosan,5019,出光興産株式会社,,,,,,,,,,,,,f,,,,,ca548f1e-4840-4765-881a-543ddaa61098
Imperial Oil,IMO,Imperial Oil Ltd,,,,,,,,,,,,,f,,,,,9a5abeb7-e2d7-4ab0-b913-6640f519a27d
Imperial Ptrl,IMPP,Imperial Petroleum Inc,,,,,,,,,,,,,f,,,,,b708a000-2d1d-44d3-9064-88a549d6d2a7
Independence Contract,ICD,Independence Contract Drilling Inc,,,,,,,,,,,,,f,,,,,4bd1cb2e-b999-40a9-a575-52b2d1adab56
Indian Oil Corp,IOC,Indian Oil Corp Ltd,,,,,,,,,,,,,f,,,,,1696ec6e-1013-4913-84f2-393c83e5f539
Inpex,1605,国際石油開発帝石株式会社,,,,,,,,,,,,,f,,,,,e3d9246f-2bcc-47e1-8ef6-f206b5b5afa9
InPlay Oil,IPO,InPlay Oil Corp,,,,,,,,,,,,,f,,,,,8aac21c1-21f1-4fe0-932b-4aa80e2ee330
International Ptrl,IPCO,International Petroleum Corp,,,,,,,,,,,,,f,,,,,67d002ba-ba1f-4a04-974e-81d9aa64bac2
International Seaways,INSW,International Seaways Inc,,,,,,,,,,,,,f,,,,,43a9f1da-e8e1-4070-acf8-69b9e7cfc9e5
Invictus Energy,IVZ,Invictus Energy Ltd,,,,,,,,,,,,,f,,,,,b09f5135-dacc-48b4-9877-a761e28def37
Iren,IRE,Iren SpA,,,,,,,,,,,,,f,,,,,8314ebc0-628e-432d-9fc8-6a12be9927ae
IRPC,IRPC,บริษัท ไออาร์พีซี จำกัด (มหาชน),,,,,,,,,,,,,f,,,,,c56eaf28-7e8e-4841-aab6-87b767cd12d3
Isramco Negev 2 LP,ISRA,ישראמקו נגב 2 שותפות מוגבלת,,,,,,,,,,,,,f,,,,,1d5241f4-bcae-47dc-ba6c-7ce0e48b4fc8
Ithaca Energy,ITH,Ithaca Energy PLC,,,,,,,,,,,,,f,,,,,b80a2623-bb0d-45f2-b739-bb509ae9d16b
ITOCHU,8001,伊藤忠商事株式会社,,,,,,,,,,,,,f,,,,,f84c5b17-b876-43e5-af6b-c5e5ad48aaf7
Itochu Enex Co,8133,伊藤忠エネクス株式会社,,,,,,,,,,,,,f,,,,,f6076ee2-2bef-496a-b5dd-62ac2c9de5b3
Jadestone Energy,JSE,Jadestone Energy PLC,,,,,,,,,,,,,f,,,,,93bc3799-263c-47d6-a026-f51bc07f844a
Jamuna Oil Co,JAMUNAOIL,Jamuna Oil Co Ltd,,,,,,,,,,,,,f,,,,,19bddf6b-213d-4483-ae0f-469313982485
Japan Petroleum,1662,石油資源開発株式会社,,,,,,,,,,,,,f,,,,,123a8912-142e-4b90-a4ab-babc93815a16
JG Summit Holdings,JGS,JG Summit Holdings Inc,,,,,,,,,,,,,f,,,,,30492a7a-50b0-48fb-9e0c-3253ec921596
Jiangsu Guoxin,2608,江苏国信股份有限公司,,,,,,,,,,,,,f,,,,,9160014a-b48e-4e6f-b250-f82265c85b41
JIANGSU LOPAL TECH Co,603906,江苏龙蟠科技股份有限公司,,,,,,,,,,,,,f,,,,,27413877-0264-4cb3-99d1-6a5dc0faf172
Jiangxi Jovo Energy Co,605090,江西九丰能源股份有限公司,,,,,,,,,,,,,f,,,,,f8a47208-f887-4941-a5d8-70ef94b101d4
Jindal Drilling & Indus,511034,Jindal Drilling & Industries Ltd,,,,,,,,,,,,,f,,,,,c495e86a-6ddd-4b46-a245-d027f00d0278
John Wood Group,WG.,John Wood Group Plc,,,,,,,,,,,,,f,,,,,e4c37681-2c65-4ee6-a360-d461a6a24e0a
Jordan Petroleum Refinery,JOPT,Jordan Petroleum Refinery Co Ltd,,,,,,,,,,,,,f,,,,,f96f619a-ce37-4691-b7cb-2c84f3efed90
Journey Energy,JOY,Journey Energy Inc,,,,,,,,,,,,,f,,,,,eab8b0c6-41f6-4360-b2b8-f4caa4fbc89f
Jutal Offshore Oil Servs,3303,Jutal Offshore Oil Services Ltd,,,,,,,,,,,,,f,,,,,656cfd3c-8aaf-4fbb-9213-f661b874cbfd
Kamei,8037,カメイ株式会社,,,,,,,,,,,,,f,,,,,b5458b65-d935-4054-a1ce-9afe02c7e4b4
Karoon Energy,KAR,Karoon Energy Ltd,,,,,,,,,,,,,f,,,,,4029b454-e22d-4c82-9764-98d241db2873
Kawasan Industri Jababeka,KIJA,PT Kawasan Industri Jababeka Tbk,,,,,,,,,,,,,f,,,,,b05926f4-b13c-4c01-8651-500fb3c09946
Kelt Exploration,KEL,Kelt Exploration Ltd,,,,,,,,,,,,,f,,,,,7b662732-3b15-4580-82dd-04d1aa379934
Kenon Hldgs,KEN,Kenon Holdings Ltd,,,,,,,,,,,,,f,,,,,7a824312-abaf-4818-8cc1-10683af30d2c
Keppel,BN4,Keppel Ltd,,,,,,,,,,,,,f,,,,,9c6f4c62-e6ce-48c5-9dc2-b89c2eb91e90
Key Energy Servs,KEGX,Key Energy Services Inc,,,,,,,,,,,,,f,,,,,774a43d7-731c-4649-a798-c2c393364b30
Keyera,KEY,Keyera Corp,,,,,,,,,,,,,f,,,,,4ce36320-2315-411c-8c18-d671bf72c4f7
Kimbell Royalty Partners,KRP,Kimbell Royalty Partners LP,,,,,,,,,,,,,f,,,,,57a7cb7a-2285-4215-905a-f8fe2e3388e3
Kinder Morgan,KMI,Kinder Morgan Inc,,,,,,,,,,,,,f,,,,,a0a6f2f0-b97c-4143-9ea6-d282a6188d72
Kinetik Holdings,KNTK,Kinetik Holdings Inc,,,,,,,,,,,,,f,,,,,a063d85d-991e-4124-8a8b-0a4c26a6c4dd
Kiwetinohk Energy,KEC,Kiwetinohk Energy Corp,,,,,,,,,,,,,f,,,,,a3472062-2806-4cb2-9adc-2712505386b8
KKR & Co,KKR,KKR & Co Inc,,,,,,,,,,,,,f,,,,,28c126cf-e1b3-4fa3-b9a4-46cfa3db6118
KLX Energy Services Hldgs,KLXE,KLX Energy Services Holdings Inc,,,,,,,,,,,,,f,,,,,72787b47-4cf5-4d34-af85-91aeeb76894f
KN Energies,KNE1L,KN Energies AB,,,,,,,,,,,,,f,,,,,12636ded-78a8-43f0-81b4-171e29ab1605
Kodiak Gas Services,KGS,Kodiak Gas Services Inc,,,,,,,,,,,,,f,,,,,151da12e-944e-49d0-9715-62bda8e344de
Kogeneracja,KGN,Kogeneracja S.A.,,,,,,,,,,,,,f,,,,,bc773335-a1dd-427e-be81-645ca4894ee7
Koil Energy Solutions,KLNG,Koil Energy Solutions Inc,,,,,,,,,,,,,f,,,,,2a59b2b6-47bd-4412-8261-e33bd1d119f6
